,Product,Category,Brand,Color,Base_Price,Total_availability,Total_Volume
0,#g6^K LK-بنفش,سشوار,برون,بنفش,1500.0,0,69
1,^%^&-مشکی,اصلاح سر و صورت,برون,مشکی,0.0,0,0
2,Epiphone Les Paul Standard 50s Indian Laurel Metallic Gold-قهوه ای,ساز و موسیقی,متفرقه,قهوه ای,20500000.0,0,0
3,ME-ECM2026 اسپرسو ساز مباشی-سفید,قهوه  و چای ساز,ناشناخته,سفید,2610000.0,0,0
4,PRS SE Custom 24 Vintage Sunburst Indonesia-قهوه ای,ساز و موسیقی,متفرقه,قهوه ای,14750000.0,0,0
5,PRS SE Parlor P20E-قهوه ای,ساز و موسیقی,متفرقه,قهوه ای,22500000.0,0,0
6,SCHECTER Keith Merrow-مشکی,ساز و موسیقی,متفرقه,مشکی,31500000.0,0,0
7,SPARKFOX Dual Charge Dock PS5-سفید,لوازم جانبی کنسول بازی,متفرقه,سفید,700000.0,0,0
8,آب مرکبات گیر بیم مدل CJ4602-بنفش,آب مرکبات گیری,ناشناخته,بنفش,1650000.0,0,0
9,آب مرکبات گیر میگل مدل GCS 90-بنفش,آب مرکبات گیری,ناشناخته,بنفش,1250000.0,0,0
10,آب مرکبات گیری بوش مدل MCP3500-سفید,آب مرکبات گیری,ناشناخته,سفید,2000000.0,0,0
11,آبمیوه ‌گیری 3 کاره ناسا الکتریک NS-917-مشکی,آب مرکبات گیری,ناشناخته,مشکی,3390000.0,0,0
12,آبمیوه گیری بوش مدل MES25A0-سفید,آب مرکبات گیری,ناشناخته,سفید,3770000.0,0,0
13,آبمیوه گیری بوش مدل MES3500-بنفش,آب مرکبات گیری,ناشناخته,بنفش,2000000.0,0,0
14,آبمیوه گیری بوش مدل MES4010-مشکی,آب مرکبات گیری,ناشناخته,مشکی,7143000.0,0,0
15,آبمیوه گیری بیم JC 2101 MST-بنفش,آب مرکبات گیری,ناشناخته,بنفش,2400000.0,0,0
16,آبمیوه گیری بیم مدل FP-2004-بنفش,آب مرکبات گیری,ناشناخته,بنفش,2990000.0,0,0
17,آبمیوه گیری ناسا الکتریک مدل NS-942-مشکی,آب مرکبات گیری,ناشناخته,مشکی,3750472.0,0,0
18,آبمیوه گیری هاردستون مدل Hardstone PJP1041B-مشکی,آب مرکبات گیری,ناشناخته,مشکی,2250000.0,0,0
19,آبمیوه‌گیری چهار کاره ناسا الکتریک NS-915-مشکی,آب مرکبات گیری,ناشناخته,مشکی,5300000.0,0,0
20,آداپتور PSVR مخصوص PS5-مشکی,لوازم جانبی کنسول بازی,متفرقه,مشکی,1200000.0,0,0
21,آداپتور شارژر رسی مدل RCT-P19E-سفید,شارژر,رسی,سفید,600000.0,0,0
22,آرام پز میگل مدل GSL 150-سفید,پخت و پز,میگل,سفید,850000.0,0,0
23,آرام پز میگل مدل GSL 180-مشکی,پخت و پز,میگل,مشکی,750000.0,0,0
24,آسیاب مخلوط کن هاردستون مدل BL8413B-مشکی,پخت و پز,ناشناخته,مشکی,480000.0,0,0
25,آسیاب کن ناسا الکتریک مدل NS1963-مشکی,پخت و پز,ناشناخته,مشکی,2299000.0,0,0
26,آل این وان اچ پی مدل CB1010NH-AA i7 1255U ظرفیت 1 ترابایت و رم 32 گیگابایت 27 اینچ-سفید,کامپیوتر همه کاره (all in one),اچ پی,سفید,158000000.0,0,0
27,آل این وان اچ پی مدل CB1038NH-AA i7 1255U ظرفیت 512 گیگابایت و رم 16 گیگابایت 23.8 اینچ-سفید,کامپیوتر همه کاره (all in one),اچ پی,سفید,60300000.0,0,0
28,آل این وان اچ پی مدل CB1038NH-AB i7 1255U ظرفیت 1 ترابایت و رم 16 گیگابایت 23.8 اینچ-سفید,کامپیوتر همه کاره (all in one),اچ پی,سفید,64000000.0,0,0
29,آل این وان اچ پی مدل ENVY 34 C1101NH-A i7 12700 ظرفیت 1 ترابایت و رم 16 گیگابایت 34 اینچ-نقره ای,کامپیوتر همه کاره (all in one),اچ پی,نقره ای,150000000.0,0,0
30,آل این وان ام اس آی مدل Modern AM242P 12M-A  i5 1240P ظرفیت 512 گیگابایت SSD و رم 16 گیگابایت 23.8 اینچ-آبی,کامپیوتر همه کاره (all in one),ام اس آی,آبی,41910000.0,0,0
31,آل این وان ام اس آی مدل Modern AM242P 12M-A  i5 1240P ظرفیت 512 گیگابایت SSD و رم 16 گیگابایت 23.8 اینچ-مشکی,کامپیوتر همه کاره (all in one),ام اس آی,مشکی,36400000.0,0,0
